1408	0.10956594 -0.014101505 -0.083400115 -0.023226842 0.072775245 -0.12303692 -0.05620759 0.053393394 0.032308415 -0.0044577196 -0.06564011 0.10945377 -0.0111342445 -0.02358491 -0.11027929 -0.047293976 -0.084726594 -0.119339764 -0.122154325 0.06516187 0.009835571 -0.09235279 0.07817851 0.047769636 0.06879227 -0.055679284 0.07076532 0.06349489 0.013038471 -0.0409721 -0.019065917 0.04926248 -0.05300553 0.097072095 0.0016818643 0.002597019 -0.009286664 -0.1063756 0.051440254 -0.05786986 0.07271725 -0.045641623 -0.052669927 -0.035236724 0.053367704 -0.0962058 -0.016826764 0.061099544 0.029056266 -0.07335492 0.08544101 -0.06790431 0.08895391 -0.100054525 -0.09991895 -0.09367074 -0.010224737 -0.07282937 -0.0969317 -0.11325854 0.0149881095 -0.12137685 -0.021906376 0.0714407
1411	-0.067184746 0.0063948333 0.10073155 -0.020846844 0.065325916 0.09373622 -0.01980631 0.08355649 -0.06752524 -0.052070767 0.11997339 0.028998837 -0.11627562 0.0025373697 -0.00019235164 0.1076318 -0.033150055 -0.11395601 -0.10217076 -0.004671119 0.050569877 -0.03687784 0.11925006 -0.09186512 0.07357597 -0.015769117 -0.015484117 0.007348895 -0.020697169 0.11301564 -0.02006884 0.086080134 -0.018307678 0.08870639 -0.11259048 0.008231193 -0.06296116 -0.021601588 -0.0018099621 -0.042188518 0.019528195 0.10781427 0.019214392 -0.033303022 0.026503384 -0.024889633 0.034582525 0.051845357 -0.011623301 0.07479805 0.10356854 0.05426441 -0.031775482 0.07016775 0.09851733 -0.026355118 0.011417359 -0.005048245 -0.095542446 -0.094225116 0.053773016 0.104191765 -0.051874854 0.12455997
1415	0.034843594 0.07384853 -0.077643774 0.032397866 0.03294751 0.08415422 0.06815691 -0.00880827 -0.1107422 0.07930115 -0.034459963 -0.017969027 0.015592322 0.08123529 0.0314648 -0.0388467 0.07909714 -0.038828306 0.06778693 0.02538304 -0.11776983 0.11688538 0.056488544 -0.047257908 -0.031069316 -0.091903076 0.0068652183 -0.08922659 0.099686965 0.104638144 -0.00696747 0.11471975 0.028005332 0.053805634 0.044763327 -0.11205256 -0.05536376 0.019593388 0.08251266 0.107398614 0.10849923 0.01876752 0.06708473 -0.08193691 -0.0154576 -0.019127972 -0.035146058 0.0033617914 -0.043697305 -0.0126634985 0.02053015 0.020202264 0.11474411 0.02633594 -0.111657925 -0.010506898 -0.07806587 -0.110089794 0.1163217 -0.056711473 0.12140517 -0.107602835 0.06583792 0.11736725
1441	0.03569646 -0.018910907 0.107187286 0.016997501 -0.0023879185 -0.12244329 0.10990271 0.12258321 0.051125735 0.03607142 0.12352133 0.06637387 0.038996235 -0.10879779 0.039048 0.109944165 0.059414253 -0.012534797 -0.10860848 0.062930614 0.026424974 -0.0243413 0.10470116 -0.03547378 -0.08074735 0.056805655 -0.11147756 0.07267062 0.037974328 0.09607646 0.11740345 0.008922279 -0.07541689 -0.054662444 0.08492756 -0.051760636 0.11233777 -0.110979594 -0.087695196 -0.00012794137 0.11034973 0.0363231 -0.050971568 -0.059016325 -0.0724051 0.10197605 -0.11868576 -0.076525524 -0.004563555 0.08065756 0.05101733 -0.010526419 -0.0217105 0.07793321 0.020600125 0.106044635 -0.1221743 -0.040206023 -0.12082495 0.107905924 0.08577436 0.12142044 0.07084307 0.002740845
1444	0.071670145 0.008646861 -0.045510747 0.03864181 -0.001596801 -0.019167311 0.10200973 -0.08752106 0.09454256 0.045439914 -0.01664082 -0.121741824 0.11276333 0.07758534 -0.043084733 0.03448537 0.1126208 0.06670977 -0.022415362 0.10908823 -0.045375645 0.09086242 0.11048834 -0.084571496 0.037093222 0.020783544 0.09489907 -0.11961708 -0.10881518 0.10229671 0.072544515 -0.014589384 0.0848995 0.012458831 0.04813829 0.1111839 -0.06350975 0.04571314 0.015042946 0.088633955 0.0098138 -0.11836957 -0.046061255 -0.06640415 -0.0029419288 -0.038651854 0.016405284 -0.045936994 -0.033101782 -0.0792111 -0.023667954 0.076961875 0.027803272 0.05169417 0.0003452003 -0.058526635 -0.08270044 -0.016652286 0.08082047 0.014338568 -0.06524892 0.036278397 0.026548877 0.0324222
1446	-0.020954043 -0.0058163553 0.09572132 0.00026878715 0.02882804 0.045289963 -0.06496135 -0.015409902 0.055461198 0.04165125 0.115747735 -0.07660301 -0.073443174 -0.08792132 -0.07942268 -0.053873695 0.073657036 -0.009327099 -0.109255604 -0.013086453 -0.09197843 0.075294465 -0.020150617 -0.12387262 0.05710365 -0.11726931 0.110449344 0.06736502 0.09888852 -0.0032201484 -0.046862915 0.015622959 -0.12317089 0.1217777 -0.11376521 0.06625718 -0.015483335 0.0252541 -0.0927072 -0.12160285 -0.041413367 0.11844918 0.08950797 0.051537395 0.099154115 -0.111736625 0.09472032 0.023702249 0.097581625 -0.024651222 -0.071408436 -0.04431141 0.10563044 -0.049066402 -0.092870705 0.03814353 -0.030215256 0.018907323 0.035035953 0.06067519 -0.111508735 -0.0066877007 0.10778335 -0.08989328
1450	-0.08166133 0.060304224 -0.1089334 0.050459847 0.029700592 -0.1232741 0.04813628 0.0016100109 0.054744482 -0.019115925 0.008608371 -0.052582398 -0.12135249 -0.060892947 0.085124165 0.032263577 -0.043261178 -0.076465905 -0.015839249 -0.10832864 -0.02253484 0.058364585 0.12172368 0.064029634 -0.09669106 0.0917127 0.07016896 -0.08484956 -0.025198564 -0.0077119395 -0.021968462 0.023145333 -0.013788484 0.06133251 -0.122853845 -0.12311938 -0.034173764 0.04505278 -0.07137278 0.047333717 -0.054265298 -0.12396098 0.0014114529 0.04945737 0.059194967 -0.008685514 -0.04082904 -0.11799864 -0.0854701 0.048112392 0.0020700693 0.028446853 0.07750748 0.04087366 0.03534712 -0.08985935 0.060758606 0.031639293 -0.10648645 0.04360223 -0.11735393 0.088351905 -0.05436883 -0.041461103
1453	0.11801924 0.018916547 -0.067154266 -0.03645833 -0.11956176 -0.014849611 0.042453825 -0.021484353 0.066488266 0.037068814 0.061164737 0.09134771 0.064567834 0.11624022 -0.039634228 0.064716846 -0.086049095 -0.0023553744 0.07752532 0.023384258 -0.064303085 0.12361801 0.0080355555 -0.062006578 -0.12299403 -0.052979298 0.07918954 -0.08732585 -0.06497786 0.053882584 -0.12422416 0.0133393705 -0.0426768 -0.05143801 0.05380656 0.092753395 0.07745144 0.059815556 0.046204865 0.018574253 0.053773224 -0.09137407 -0.032027468 -0.08819559 0.03867978 0.0060495585 -0.086460546 -0.055669613 0.111888275 -0.040057503 0.1040075 0.033297405 -0.07741992 -0.06723825 -0.11582953 0.117855 -0.03599769 0.034916744 0.01002349 0.104106665 0.0605565 0.06881507 -0.015054345 0.06395352
1459	-0.06458855 -0.07697261 -0.117023386 0.07322015 -0.08161895 0.07871233 0.073969126 -0.06461469 0.014523029 0.10270016 0.06668252 -0.101176366 0.04057099 -0.04619371 -0.022776246 -0.07278752 -0.046665348 -0.04308428 -0.1136073 -0.08209309 0.12261374 0.05096914 -0.117224164 -0.04232467 0.08515294 -0.027382009 -0.05114583 -0.06320965 0.12229431 -0.10717431 0.021610618 0.06601122 0.09008701 0.105093226 0.021158949 -0.017810069 -0.08706373 0.06320481 -0.040304855 0.117447376 -0.061480686 0.121589005 -0.088815734 -0.09282188 0.099454015 0.000108107924 -0.08095834 0.10408585 -0.10382266 0.11927304 0.084064946 0.04951863 -0.049137644 -0.020445682 0.049065337 -0.11687094 -0.102942795 0.033031017 0.08887541 0.019369677 0.006808877 -0.08378605 -0.092082635 0.114747465
1471	-0.099767864 -0.117467344 0.093263894 0.0050635487 -0.028652944 -0.11949106 0.10981068 -0.067797735 -0.0420302 -0.09692198 -0.055289082 0.060662672 -0.017049044 -0.056034178 0.11193973 -0.05090995 -0.0068299845 0.055337384 0.054602012 0.11470033 0.02560234 -0.08260076 0.053105667 -0.106395185 -0.10144082 0.09608984 0.1133081 0.04852459 0.065028474 -0.007925175 0.016050741 0.020560443 -0.11814875 0.018640429 -0.035318688 -0.11285393 -0.0035281032 -0.06385538 0.008360729 0.025069699 0.03292173 0.057670206 0.044385254 -0.066186875 0.00090812147 0.09510888 0.0025658906 -0.090441614 0.12497412 -0.054467373 0.07803221 -0.0498868 0.043401793 0.06561221 -0.057203837 -0.038914673 0.08110589 0.10925269 0.009613678 -0.004124269 0.105129614 -0.10060574 -0.0236165 -0.101437606
